S1,S2,S3,S4,Activity
250,172,250,45,0
191,113,250,103,0
250,121,175,141,0
172,221,250,189,0
250,63,250,150,0
250,152,250,62,0
165,124,250,92,0
250,158,250,56,0
172,43,171,131,0
72,145,175,129,0
250,69,250,146,0
250,104,250,109,0
250,168,170,130,0
73,143,175,139,0
174,139,121,135,0
250,89,250,127,0
250,120,250,95,0
250,212,250,167,0
250,130,250,83,0
222,221,182,250,0
250,121,111,153,0
80,137,174,178,0
250,47,168,61,1
250,48,250,60,1
222,47,163,60,1
250,47,250,61,1
220,47,168,60,1
250,47,250,61,1
185,47,170,61,1
250,47,85,60,1
220,47,250,61,1
250,47,250,61,1
160,47,250,61,1
190,46,250,61,1
189,46,250,61,1
190,49,250,61,1
188,48,250,61,1
188,48,250,60,1
221,48,250,61,1
250,49,210,61,1
250,48,250,61,1
250,47,250,61,1
177,47,250,61,1
172,46,250,61,1
90,48,222,60,1
172,194,223,61,1
183,52,163,60,1
250,145,199,61,1
250,197,250,60,1
250,47,250,61,1
173,48,166,61,1
250,47,250,61,1
220,47,165,60,1
250,47,250,61,1
181,47,167,61,1
250,47,250,61,1
220,47,163,61,1
250,47,250,61,1
220,47,163,61,1
250,48,250,61,1
220,47,163,61,1
250,51,250,61,1
221,51,159,61,1
250,49,250,61,1
221,46,163,61,1
250,50,250,61,1
171,46,170,61,1
250,47,250,61,1
220,48,167,61,1
250,48,250,61,1
250,172,250,45,0
191,113,250,103,0
250,121,175,141,0
172,221,250,189,0
250,63,250,150,0
250,152,250,62,0
165,124,250,92,0
250,158,250,56,0
172,43,171,131,0
72,145,175,129,0
250,69,250,146,0
250,104,250,109,0
250,168,170,130,0
73,143,175,139,0
174,139,121,135,0
250,89,250,127,0
250,120,250,95,0
250,212,250,167,0
250,130,250,83,0
222,221,182,250,0
250,121,111,153,0
80,137,174,178,0
250,196,250,61,0
250,196,250,61,0
250,195,211,61,0
250,197,250,61,0
250,49,250,60,1
159,48,250,61,1
164,49,166,60,1
250,49,250,60,1
182,50,101,61,1
127,50,165,61,1
250,49,250,60,1
220,49,160,60,1
250,194,250,61,1
250,196,250,61,1
250,48,250,61,1
250,196,250,61,1
250,194,250,61,1
250,194,250,61,1
250,196,250,61,1
221,48,250,61,1
220,48,250,61,1
250,50,250,60,1
155,48,250,61,1
171,48,250,61,1
220,49,250,60,1
170,47,250,61,1
189,47,250,61,1
171,47,250,60,1
94,47,160,61,1
250,48,250,61,1
220,47,250,61,1
250,47,250,61,1
154,48,250,61,1
189,194,250,60,0
171,117,250,60,0
220,195,250,60,0
250,196,250,60,0
250,196,250,61,0
250,51,93,61,1
221,49,250,61,1
250,50,250,61,1
158,48,250,61,1
188,47,250,61,1
182,49,250,61,1
183,196,250,60,0
220,196,250,60,0
250,195,250,60,0
250,196,250,61,0
250,196,250,60,0
221,194,250,60,0
250,194,250,60,0
250,194,250,61,0
250,188,250,61,0
221,196,250,61,0
250,196,250,61,0
250,48,250,61,1
220,50,169,60,1
250,47,250,61,1
220,196,250,61,0
250,49,250,61,1
220,47,250,61,1
150,46,169,61,1
250,194,250,61,0
250,40,250,61,1
145,41,250,61,1
187,44,250,61,1
77,44,87,61,1
250,44,250,61,1
221,44,164,61,1
250,45,250,60,1
220,44,166,60,1
250,44,250,60,1
220,43,167,60,1
250,44,250,61,1
189,43,222,61,1
250,43,250,61,1
221,43,175,61,1
250,43,250,60,1
220,43,174,61,1
250,43,250,60,1
220,43,175,61,1
250,43,250,60,1
220,43,175,61,1
250,43,250,61,1
220,43,250,60,1
220,43,250,61,1
250,43,250,61,1
175,43,250,61,1
193,42,250,61,1
78,43,86,61,1
250,43,250,61,1
197,43,191,61,1
250,43,250,61,1
195,43,174,61,1
250,43,250,61,1
220,43,167,61,1
250,43,250,61,1
220,43,167,61,1
250,43,250,61,1
219,43,170,61,1
250,43,250,60,1
209,43,178,61,1
250,43,250,61,1
220,43,167,61,1
250,43,250,61,1
171,42,250,61,1
220,42,168,61,1
250,43,250,61,1
167,43,250,60,1
250,42,250,61,1
250,43,250,61,1
167,43,250,61,1
250,43,172,61,1
250,43,250,61,1
250,172,250,45,0
191,113,250,103,0
250,121,175,141,0
172,221,250,189,0
250,63,250,150,0
250,152,250,62,0
165,124,250,92,0
250,158,250,56,0
172,43,171,131,0
72,145,175,129,0
250,69,250,146,0
250,104,250,109,0
250,168,170,130,0
73,143,175,139,0
174,139,121,135,0
250,89,250,127,0
250,120,250,95,0
250,212,250,167,0
250,130,250,83,0
222,221,182,250,0
250,121,111,153,0
80,137,174,178,0
